"",""
"With breastfeeding, I felt too tied down all the time.","Con la lactancia me sentí amarrada todo el tiempo."
"An error occurred when attempting to upate your entry<br />","Se produjo un error al intentar Upate tu <br /> entrada"
"Time","Hora"
"Display Data","Mostrar Datos"
"Tutorials","Tutoriales"
"7 ounces","7 onzas"
"Jaundice","ictericia (bebé amarillento)"
"With breastfeeding I felt a sense of inner contentment.","Amamantando me sentí feliz interiormente."
"Today","Hoy"
"Quiet and alert","Quieto y alerta"
"How did the web-based monitoring help in overcoming your baby's health problems?","¿Cómo le ayudó el sistema en-línea de monitoreo a superar los problemas de salud de su bebé?"
"Please enter pumping amount","Por favor entre cuanta leche se saca"
"Notification Instructions","Instrucciones de notificaciones"
"to","a"
"Not very often","No muy frecuentemente"
"Latest Method Of Delivery","Método de Parto más reciente"
"I found the system unnecessarily complex","el sistema es complicado"
"The International Lactation Consultant Association","Asociación Internacional de Consultores de Lactancia"
"No, never","No, nunca"
"Day","Día"
"Drowsy","Somnoliento"
"Your baby has been difficult to wake and breastfeed. Please do the following","Si le ha costado trabajo despertar a su bebé para amamamntarlo. Por favor haga lo siguiente."
"Dark Yellow","Amarillo oscuro"
"Nipple shields should in general be considered a short-term solution and should be used under the guidance of a Lactation Consultant","Los protectores de pezones en general deben ser considerados como una solución de corto plazo y deben ser usados bajo la guía de un especialista en lactancia "
"Please enter pumping duration","Por favor entre por cuánto tiempo se saca la leche"
"Download For This User","Bajar para este Usuario"
"Breastfeeding follow-up","Seguimiento del amamantamiento"
"Amount","Cantidad"
"Date of discharge","Fecha de dada de alta "
"Health Issue entry not modified.","Entrada de Asunto de Salud no modificada."
"Low maternal weight <50 kg","Peso materno bajo <50 kg"
"1 ounces","1 onza"
"Finish Registering","Final de la Inscripción "
"I can always continue to breastfeed my baby for every feeding.","Siempre puedo continuar amamantando mi bebé durante cada alimentación."
"Nipple shield","Protector de pezón"
"LACTOR is an innovative, interactive web-based breastfeeding monitoring system.  LACTOR was created to help breastfeeding mothers monitor their breastfeeding patterns and detect early breastfeeding problems.  The lactation consultant can also monitor mothers' data and intervene immediately in case of a breastfeeding problem.  Mothers also receive notifications if they have any breastfeeding problem with suggestions to help solve the problem.","LACTOR es un sistema por internet innovador e interactivo de monitoreo de lactancia materna. LACTOR fué creado para ayudar a madres amamantando a monitorear sus patrones de lactancia y a detectar temprano  problemas de lactancia. El especialista en lactancia también puede también monitorear los datos de la madre e intervenir inmediatamente en caso de problemas con amamantar. Las madres también reciben notificaciones si ellas tienen problemas de amamantamiento con sugerencias para resolver los problemas."
"System Feeback Survey Results","Sistema Feeback Resultados de la Encuesta"
"Please enter pumping method","Por favor entre como se saca la leche"
"Decrease body temperature","Disminución en temperatura corporal"
"> 1 year","> 1 año"
"Occupation","Ocupación"
"My baby was an eager breastfeeder.","Mi bebé tenía un breastfeeder ansioso."
"Yes, most of the time I haven't been able","Sí, la mayoría de las veces no he sido capaz de"
"Please enter breastfeeding duration.","Por favor entre la duración de lactancia."
"Contact Web Support","Contaco Con Soporte De Web"
"Demographic Information","Información Demográfica"
"Send Message","Enviar Mensaje"
"¿Prefiere Esapñol?","Do you prefer English?"
"Breastfeeding entry added successfully","Dato de amamantamiento agregado exitosamente"
"Note: Once a child's information has been added for a certain mother, it cannot be undone or modified.","Nota: Una vez que la información de un bebé se ha agregado para cierta mamá, no se puede modificar o cancelar."
"Unread Messages","Mensajes No Leídos"
"3 ounces","3 onzas"
"Health issue entry added successfully","Dato de asunto de salud agregado exitosamente"
"Breastfeeding entry not modified.","Entrada de Amamantamiento no modificada."
"Other (specify)","Otros (especificar)"
"10 ounces","10 onzas"
"Supplement Diary","Diaro de Suplementos"
"Formed","Formado"
"Add/Manage Users","Agregar/Manejar Usuarios"
"Please enter supplement type","Por favor entre el tipo de suplemento"
